Nama Produk,Jumlah Produk,Harga Jual,Rating Produk,Nama Akun,Rating Pengguna,Ulasan Produk
MAKE OVER Color Stick Matte Crayon 2.6 g- Lip Crayon - 105 Skye,Terjual 10 rb+,Rp95.200,4.9,c***h,bintang 5,"bahannya ringan, warnanya bagus"
MAKE OVER Color Stick Matte Crayon 2.6 g- Lip Crayon - 105 Skye,Terjual 10 rb+,Rp95.200,4.9,W***i,bintang 5,"Ga bikin keringg, barang ori Harga paling murah di antara yang lain"
MAKE OVER Color Stick Matte Crayon 2.6 g- Lip Crayon - 105 Skye,Terjual 10 rb+,Rp95.200,4.9,Fani,bintang 1,Fani
MAKE OVER Color Stick Matte Crayon 2.6 g- Lip Crayon - 105 Skye,Terjual 10 rb+,Rp95.200,4.9,safira,bintang 3,safira
MAKE OVER Color Stick Matte Crayon 2.6 g- Lip Crayon - 105 Skye,Terjual 10 rb+,Rp95.200,4.9,Paramita,bintang 5,Paramita
MAKE OVER Color Stick Matte Crayon 2.6 g- Lip Crayon - 105 Skye,Terjual 10 rb+,Rp95.200,4.9,Pipit,bintang 5,oke mantap pokonya gak kering di bibir best
MAKE OVER Color Stick Matte Crayon 2.6 g- Lip Crayon - 105 Skye,Terjual 10 rb+,Rp95.200,4.9,R***a,bintang 5,"di saya terlihat pucat karena bibir agak gelap, tapi kalo untuk di ombre baguss"
MAKE OVER Color Stick Matte Crayon 2.6 g- Lip Crayon - 105 Skye,Terjual 10 rb+,Rp95.200,4.9,Aan,bintang 5,"Alhamdullilah datang jg lipstiknya bagus tingan di bibir dan nempel nya tahan lama,,cm sayang pengirimannya lama bgt sampe 6 hari padahal dekat"
MAKE OVER Color Stick Matte Crayon 2.6 g- Lip Crayon - 105 Skye,Terjual 10 rb+,Rp95.200,4.9,s***i,bintang 5,"packingn aman, pengiriman cepat, ini pemakaian yg kedua kalinya krn warnanya cocok, aman di bibir (ga buat bibir kering), meskipun mudah patah."
MAKE OVER Color Stick Matte Crayon 2.6 g- Lip Crayon - 105 Skye,Terjual 10 rb+,Rp95.200,4.9,Egi,bintang 1,"barang yg datang tidak lengkap,pesan 5 barang yg datang cuman 2 pada ****"
